scan_id,window_id,rank,row_offset,col_offset,source_row_start,source_col_start,min_elevation_m,max_elevation_m,elevation_range_m,max_neighbor_grade,roughness_m,hazard,selected_route_id,note
first-trusted-square-9x9-corridor-scan-v2,r+12-c+12,40,12,12,3984,3802,238.972000,291.229000,52.257000,0.812650,8.744083,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c+12,41,8,12,3980,3802,256.871000,309.170000,52.299000,0.823450,9.421750,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-12-c-8,42,-12,-8,3960,3782,591.305000,635.451000,44.146000,0.823900,7.871417,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+12-c+8,43,12,8,3984,3798,293.027000,340.110000,47.083000,0.825400,8.583708,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-16-c+16,44,-16,16,3956,3806,318.584000,363.730000,45.146000,0.828350,7.375750,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+12-c-16,45,12,-16,3984,3774,578.967000,628.516000,49.549000,0.828900,8.124167,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-12-c+4,46,-12,4,3960,3794,434.187000,483.819000,49.632000,0.836200,8.397458,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+12-c+0,47,12,0,3984,3790,385.419000,441.175000,55.756000,0.837300,9.096750,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c-16,48,-4,-16,3968,3774,658.310000,707.490000,49.180000,0.838900,8.056875,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+12-c+16,49,12,16,3984,3806,186.695000,240.943000,54.248000,0.839600,9.044208,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+4-c+16,50,4,16,3976,3806,229.492000,281.678000,52.186000,0.844050,8.523708,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+4-c+4,51,4,4,3976,3794,373.511000,423.914000,50.403000,0.848250,8.633708,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c-16,52,8,-16,3980,3774,588.961000,638.910000,49.949000,0.858200,8.613875,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+4-c-16,53,4,-16,3976,3774,603.939000,659.114000,55.175000,0.860700,9.521250,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c-4,54,-4,-4,3968,3786,514.507000,568.221000,53.714000,0.862000,8.922167,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-12-c+8,55,-12,8,3960,3798,381.409000,426.176000,44.767000,0.862850,7.784500,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+4-c+12,56,4,12,3976,3802,279.541000,324.415000,44.874000,0.865000,7.462000,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-16-c+4,57,-16,4,3956,3794,443.539000,492.191000,48.652000,0.869600,8.229000,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c-12,58,8,-12,3980,3778,539.727000,586.136000,46.409000,0.869750,7.500958,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c+16,59,8,16,3980,3806,207.300000,265.675000,58.375000,0.870450,10.012583,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+0-c+4,60,0,4,3972,3794,393.239000,437.527000,44.288000,0.875800,7.976000,blocked,,measured scan window; not promoted as a route candidate
